"SID","SName","SCity","Address","Risk"
201,Мегаком             ,Красноярск          ,Достоевского 18                                   ,3
210,Синапсис            ,Иркутск             ,Животноводческая 7                                ,3
219,Райдос              ,Казань              ,Заслонова 44                                      ,1
229,Мегаком             ,Краснодар           ,Кавказская 48                                     ,3
239,Янус                ,Санкт-Петербург     ,Коммуны 29                                        ,1
249,ВАЛСИ               ,Волгоград           ,Красноармейская 45                                ,2
258,"ООО ""Петрикофф""     ",Ульяновск           ,Ленинградская 48                                  ,1
267,Янус                ,Новгород            ,Лунная 36                                         ,2
276,Viva                ,Красноярск          ,Марата 13                                         ,1
287,ИП Кахраманов Э.Б.  ,Ярославль           ,Новороссийская 43                                 ,3
297,"ООО ""ИРБИС-ВЕНТ""    ",Ростов-на-Дону      ,Овчинникова 2                                     ,1
307,"ООО ""Абсолют""       ",Барнаул             ,Павлоградская 48                                  ,3
317,ИП Лебедева И.С.    ,Новгород            ,Победы 24                                         ,1
328,"ООО ""Слог""          ",Саратов             ,Российская 50                                     ,3
338,"ООО ""МТА""           ",Москва              ,Связи 38                                          ,3
348,Русинтек            ,Уфа                 ,Сиреневая 37                                      ,2
357,e-Volt              ,Барнаул             ,Сталеваров 38                                     ,2
367,Палекс              ,Новгород            ,Титановая 5                                       ,2
378,Синапсис            ,Саратов             ,Турбинная 49                                      ,3
387,Райдос              ,Ярославль           ,Ульяновский 18                                    ,3
396,ИП Карачаров В.В.   ,Челябинск           ,Хабаровский 29                                    ,2
410,Мотэк-99            ,Иркутск             ,Цинковая 16                                       ,3
427,ИП Кахраманов Э.Б.  ,Воронеж             ,Шахтстроевская 22                                 ,1
437,"ООО ""ИРБИС-ВЕНТ""    ",Ярославль           ,Шота Руставели 7                                  ,3
449,Кварц               ,Волгоград           ,Юргинская 17                                      ,2
460,Русинтек            ,Иркутск             ,Агаповская 48                                     ,3
471,Райдос              ,Челябинск           ,Барабинская 37                                    ,1
482,"ООО ""Петрикофф""     ",Барнаул             ,Ватутина 20                                       ,3
490,Синапсис            ,Новосибирск         ,Вязовой 32                                        ,1
502,СлавКабель          ,Воронеж             ,Гюго 4                                            ,2
507,Палекс              ,Барнаул             ,Елькина 20                                        ,1
512,"ГК ""ФизТех""         ",Ярославль           ,Железнодорожная 10                                ,1
9,ИП Лебедева И.С.    ,Тюмень              ,Паросиловой 23                                    ,3
18,Мотэк-99            ,Самара              ,Путевая 3                                         ,2
26,СлавКабель          ,Красноярск          ,Ростовская 12                                     ,1
36,"ГК ""ФизТех""         ",Владивосток         ,Севанская 29                                      ,3
49,e-Volt              ,Волгоград           ,Смолеозерная 34                                   ,3
58,"ООО ""МТА""           ",Ульяновск           ,Тагильская 48                                     ,3
72,"ООО ""ВиК-инжиниринг""",Ростов-на-Дону      ,Труда 42                                          ,1
82,СлавКабель          ,Барнаул             ,Украинская 37                                     ,1
92,"ГК ""ФизТех""         ",Новгород            ,Фрунзе 10                                         ,2
100,"ООО ""ВиК-инжиниринг""",Пермь               ,Хрустальная 8                                     ,3
108,Viva                ,Ульяновск           ,Циолковского 10                                   ,2
121,ИП Лебедева И.С.    ,Челябинск           ,Чоппа 23                                          ,3
129,"ООО ""ИРБИС-ВЕНТ""    ",Краснодар           ,Широкая 27                                        ,3
138,СлавКабель          ,Москва              ,Энгельса 28                                       ,1
149,ИП Лебедева И.С.    ,Волгоград           ,Якутская 41                                       ,3
160,"ООО ""Слог""          ",Иркутск             ,Андижанская 24                                    ,3
169,Кварц               ,Казань              ,Барановическая 40                                 ,3
191,Райдос              ,Екатеринбург        ,Героев Танкограда 38                              ,1
204,"ГК ""ФизТех""         ",Краснодар           ,Елькина 9                                         ,1
215,"ООО ""Сварожич""      ",Новосибирск         ,Заболотная 42                                     ,3
225,Кварц               ,Пермь               ,Ильича 50                                         ,2
233,ИП Лебедева И.С.    ,Ульяновск           ,Камышовая 27                                      ,3
242,Мотэк-99            ,Новгород            ,Короленко 31                                      ,2
252,"ГК ""Эталон""         ",Воронеж             ,Краснокамская 41                                  ,3
263,"ООО ""Самоходов""     ",Москва              ,Литовская 46                                      ,1
273,e-Volt              ,Уфа                 ,Макарова 41                                       ,1
283,Палекс              ,Ульяновск           ,Московская 35                                     ,2
292,Русинтек            ,Новгород            ,Обская 38                                         ,1
302,Феникс              ,Воронеж             ,Островского 47                                    ,1
311,Палекс              ,Владивосток         ,Паровозная 10                                     ,1
324,"ООО ""ВиК-инжиниринг""",Волгоград           ,Рабоче-Крестьянская 29                            ,3
334,СлавКабель          ,Тюмень              ,Садовая 37                                        ,2
344,"ГК ""ФизТех""         ",Казань              ,Серова 13                                         ,2
355,"ООО ""Сварожич""      ",Тольятти            ,Спорта 43                                         ,1
365,Кварц               ,Новосибирск         ,Тепличная 17                                      ,3
374,"ООО ""Эльтадор-М""    ",Волгоград           ,Трубников 48                                      ,1
384,"ООО ""Слог""          ",Тюмень              ,Ударная 34                                        ,3
395,Палекс              ,Омск                ,Фрунзе 23                                         ,1
405,Зет-Стоун           ,Тольятти            ,Хуторная 3                                        ,3
415,Райдос              ,Новосибирск         ,Часовая 44                                        ,1
425,Мегаком             ,Пермь               ,Чукотская 40                                      ,3
435,Янус                ,Иркутск             ,Школьная 39                                       ,2
445,ВАЛСИ               ,Омск                ,Эстонский 32                                      ,3
455,ИП Кахраманов Э.Б.  ,Тольятти            ,Августовская 19                                   ,1
465,"ООО ""ИРБИС-ВЕНТ""    ",Новосибирск         ,Аптечная 29                                       ,2
475,"ООО ""Абсолют""       ",Пермь               ,Брянская 40                                       ,2
484,"ГК ""ФизТех""         ",Тюмень              ,Виллинская 40                                     ,2
495,"ООО ""Сварожич""      ",Омск                ,Героическая 50                                    ,1
505,Кварц               ,Тольятти            ,Дружбы 39                                         ,1
510,"ООО ""Петрикофф""     ",Иркутск             ,Железная 22                                       ,2
7,ИП Кахраманов Э.Б.  ,Барнаул             ,Парковая 35                                       ,1
14,Синапсис            ,Санкт-Петербург     ,Победы 44                                         ,1
25,ВАЛСИ               ,Пермь               ,Российская 22                                     ,2
34,"ООО ""Петрикофф""     ",Тюмень              ,Свободы 16                                        ,2
44,"ООО ""ВиК-инжиниринг""",Казань              ,Силикатная 16                                     ,2
54,СлавКабель          ,Краснодар           ,Сталеваров 39                                     ,2
64,"ГК ""ФизТех""         ",Санкт-Петербург     ,Титановая 3                                       ,1
74,Мотэк-99            ,Волгоград           ,Тульская 11                                       ,2
84,"ГК ""Эталон""         ",Тюмень              ,Ульяновский 35                                    ,3
98,Синапсис            ,Уфа                 ,Хлебозаводская 34                                 ,1
109,ВАЛСИ               ,Тюмень              ,Чайковского 38                                    ,2
119,ИП Кахраманов Э.Б.  ,Казань              ,Чистопольская 31                                  ,2
130,Мотэк-99            ,Тольятти            ,Ширшова 2                                         ,1
140,"ГК ""Эталон""         ",Новосибирск         ,Энтузиастов 16                                    ,3
151,"ООО ""Самоходов""     ",Красноярск          ,Ярославская 15                                    ,3
161,e-Volt              ,Владивосток         ,Аносова 18                                        ,1
171,Палекс              ,Челябинск           ,Братьев Кашириных 40                              ,2
180,"ООО ""Самоходов""     ",Краснодар           ,Ватутина 19                                       ,1
189,e-Volt              ,Санкт-Петербург     ,Гвардейская 45                                    ,3
200,ИП Карачаров В.В.   ,Пермь               ,Долинская 29                                      ,2
211,Янус                ,Владивосток         ,Жигулевская 10                                    ,1
222,СлавКабель          ,Ростов-на-Дону      ,Знаменская 13                                     ,2
232,"ГК ""ФизТех""         ",Барнаул             ,Каменская 10                                      ,1
244,"ООО ""Слог""          ",Казань              ,Косарева 5                                        ,1
256,ИП Карачаров В.В.   ,Ижевск              ,Краснофлотская 11                                 ,1
265,Зет-Стоун           ,Новосибирск         ,Луганская 21                                      ,3
275,Райдос              ,Пермь               ,Мамина 23                                         ,3
285,Мегаком             ,Иркутск             ,Национальная 11                                   ,1
295,Янус                ,Омск                ,Общественная 6                                    ,2
305,ВАЛСИ               ,Тольятти            ,Павелецкая 19                                     ,3
315,ИП Кахраманов Э.Б.  ,Новосибирск         ,Пекинская 39                                      ,2
323,Янус                ,Уфа                 ,Пятницкого 33                                     ,3
332,Viva                ,Барнаул             ,Рябиновая 31                                      ,2
343,ИП Кахраманов Э.Б.  ,Самара              ,Серафимовича 12                                   ,2
351,Янус                ,Красноярск          ,Смирных 8                                         ,1
360,Viva                ,Иркутск             ,Степана Разина 4                                  ,2
370,"ООО ""Петрикофф""     ",Омск                ,Трактовая 50                                      ,2
380,"ООО ""ВиК-инжиниринг""",Тольятти            ,Тургоякская 26                                    ,1
390,СлавКабель          ,Новосибирск         ,Урожайная 40                                      ,1
400,"ГК ""ФизТех""         ",Пермь               ,Химфармзавод 41                                   ,2
409,"ООО ""ИРБИС-ВЕНТ""    ",Тюмень              ,Цимлянская 8                                      ,2
418,СлавКабель          ,Самара              ,Челябэнерго 33                                    ,2
429,ИП Лебедева И.С.    ,Краснодар           ,Шенкурская 19                                     ,1
438,Мотэк-99            ,Москва              ,Шуменская 7                                       ,3
447,"ООО ""Абсолют""       ",Ростов-на-Дону      ,Южная 14                                          ,2
458,"ООО ""Эльтадор-М""    ",Ульяновск           ,Авторемонтная 18                                  ,3
468,"ООО ""Слог""          ",Самара              ,Артема 25                                         ,3
478,"ООО ""МТА""           ",Саратов             ,Валовая 44                                        ,3
491,Янус                ,Екатеринбург        ,Гагарина 31                                       ,1
499,Райдос              ,Волгоград           ,Гродненская 50                                    ,1
508,ИП Карачаров В.В.   ,Ульяновск           ,Еманжелинская 43                                  ,1
509,Мегаком             ,Тюмень              ,Ереванская 36                                     ,3
520,"ООО ""ВиК-инжиниринг""",Омск                ,Заводская 23                                      ,1
531,"ООО ""Абсолют""       ",Ижевск              ,Искусств 46                                       ,2
542,"ООО ""Эльтадор-М""    ",Новгород            ,Коммуны 35                                        ,2
553,e-Volt              ,Саратов             ,Красного Урала 1                                  ,1
562,"ООО ""МТА""           ",Ярославль           ,Лермонтова 32                                     ,1
572,Русинтек            ,Ростов-на-Дону      ,Львовская 15                                      ,2
583,Райдос              ,Ульяновск           ,Монакова 42                                       ,2
593,Мегаком             ,Самара              ,Нязепетровская 3                                  ,2
601,Зет-Стоун           ,Красноярск          ,Октябрьская 47                                    ,2
609,e-Volt              ,Тюмень              ,Павлова 4                                         ,2
619,Палекс              ,Казань              ,Первоконная 27                                    ,1
630,Синапсис            ,Тольятти            ,Рождественского 26                                ,1
641,ВАЛСИ               ,Екатеринбург        ,Связи 32                                          ,1
651,ИП Кахраманов Э.Б.  ,Красноярск          ,Сиреневая 17                                      ,1
669,ВАЛСИ               ,Казань              ,Тепловозная 12                                    ,2
678,"ООО ""Петрикофф""     ",Саратов             ,Труда 19                                          ,2
688,"ООО ""ВиК-инжиниринг""",Москва              ,Украинская 10                                     ,3
698,СлавКабель          ,Уфа                 ,Фрунзе 47                                         ,1
707,ИП Кахраманов Э.Б.  ,Барнаул             ,Худякова 32                                       ,2
716,"ООО ""ВиК-инжиниринг""",Екатеринбург        ,Чапаева 44                                        ,2
726,СлавКабель          ,Красноярск          ,Чичерина 29                                       ,2
736,"ГК ""ФизТех""         ",Владивосток         ,Ширшова 2                                         ,3
743,Янус                ,Самара              ,Щукина 20                                         ,3
753,ВАЛСИ               ,Саратов             ,Яблочкина 45                                      ,3
764,"ГК ""ФизТех""         ",Санкт-Петербург     ,Анапский 6                                        ,2
774,Мотэк-99            ,Волгоград           ,Барабинская 18                                    ,3
783,"ООО ""Абсолют""       ",Ульяновск           ,Васенко 25                                        ,3
790,"ООО ""Петрикофф""     ",Новосибирск         ,Восход 36                                         ,3
802,Мотэк-99            ,Воронеж             ,Гродненская 5                                     ,1
814,"ООО ""МТА""           ",Санкт-Петербург     ,Железноводская 27                                 ,3
822,"ООО ""Эльтадор-М""    ",Ростов-на-Дону      ,Завалишина 1                                      ,3
832,"ООО ""Слог""          ",Барнаул             ,Инженерная 21                                     ,1
844,ИП Карачаров В.В.   ,Казань              ,Коммунистическая 43                               ,2
853,Зет-Стоун           ,Саратов             ,Кошевого 1                                        ,1
865,ВАЛСИ               ,Новосибирск         ,Лермонтова 13                                     ,2
874,"ООО ""Петрикофф""     ",Волгоград           ,Лучевой 47                                        ,2
884,"ООО ""ВиК-инжиниринг""",Тюмень              ,Мира 20                                           ,3
893,ВАЛСИ               ,Самара              ,Новороссийская 30                                 ,1
904,"ГК ""ФизТех""         ",Краснодар           ,Октябрьская 27                                    ,3
915,"ООО ""Сварожич""      ",Новосибирск         ,Парашютная 7                                      ,2
924,"ГК ""Эталон""         ",Волгоград           ,Псковская 42                                      ,2
935,"ООО ""Самоходов""     ",Иркутск             ,Ростовская 5                                      ,1
943,"ООО ""Сварожич""      ",Самара              ,Свободы 26                                        ,3
954,"ООО ""МТА""           ",Краснодар           ,Сиреневая 1                                       ,3
960,"ГК ""ФизТех""         ",Краснодар           ,Спасская 36                                       ,2
971,"ООО ""Сварожич""      ",Челябинск           ,Тепличная 14                                      ,3
979,"ООО ""Абсолют""       ",Краснодар           ,Троицкое 22                                       ,3
989,ИП Лебедева И.С.    ,Санкт-Петербург     ,Угольная 36                                       ,2
1000,"ООО ""Слог""          ",Пермь               ,Физкультурная 9                                   ,3
1010,"ООО ""МТА""           ",Иркутск             ,Худякова 3                                        ,1
515,"ООО ""Самоходов""     ",Новосибирск         ,Житомирская 9                                     ,3
526,Феникс              ,Красноярск          ,Зыкова 30                                         ,2
534,"ООО ""МТА""           ",Тюмень              ,Каменогорская 25                                  ,2
544,Русинтек            ,Казань              ,Копейское 38                                      ,2
554,Феникс              ,Краснодар           ,Краснознаменная 34                                ,3
564,ИП Карачаров В.В.   ,Санкт-Петербург     ,Липецкая 38                                       ,3
574,Синапсис            ,Волгоград           ,Магнитогорская 46                                 ,3
584,Viva                ,Тюмень              ,Мопра 8                                           ,2
592,ИП Карачаров В.В.   ,Новгород            ,Новоэлеваторная 16                                ,2
602,Синапсис            ,Воронеж             ,Орджоникидзе 36                                   ,1
611,Райдос              ,Владивосток         ,Пальмовая 31                                      ,3
621,Мегаком             ,Челябинск           ,Псковская 18                                      ,3
632,"ООО ""ВиК-инжиниринг""",Барнаул             ,Ростовская 13                                     ,1
642,СлавКабель          ,Новгород            ,Севанская 24                                      ,2
654,"ООО ""Эльтадор-М""    ",Краснодар           ,Смирных 10                                        ,2
663,"ООО ""Сварожич""      ",Москва              ,Степана Разина 1                                  ,3
673,Кварц               ,Уфа                 ,Трактовая 29                                      ,1
686,Синапсис            ,Владивосток         ,Угольная 32                                       ,1
693,e-Volt              ,Самара              ,Урожайная 34                                      ,2
702,"ООО ""МТА""           ",Воронеж             ,Харьковская 35                                    ,2
710,"ООО ""Эльтадор-М""    ",Иркутск             ,Цвиллинга 47                                      ,2
718,Мотэк-99            ,Самара              ,Часовая 44                                        ,2
727,"ООО ""Абсолют""       ",Воронеж             ,Чоппа 36                                          ,3
737,ИП Лебедева И.С.    ,Ярославль           ,Шишкина 45                                        ,2
748,"ООО ""Слог""          ",Уфа                 ,Эстонский 20                                      ,2
758,"ООО ""МТА""           ",Ульяновск           ,Августовская 12                                   ,2
768,Русинтек            ,Самара              ,Аптечная 16                                       ,3
775,"ООО ""Сварожич""      ",Пермь               ,Барановическая 30                                 ,1
788,ИП Карачаров В.В.   ,Москва              ,Винницкая 26                                      ,3
798,Синапсис            ,Уфа                 ,Героическая 1                                     ,2
809,ВАЛСИ               ,Тюмень              ,Евтеева 22                                        ,1
817,Мегаком             ,Новгород            ,Жигулевская 3                                     ,3
827,Янус                ,Воронеж             ,Златоустовская 2                                  ,1
837,ВАЛСИ               ,Ярославль           ,Каменогорская 28                                  ,3
847,ИП Кахраманов Э.Б.  ,Ростов-на-Дону      ,Копейское 26                                      ,1
857,"ООО ""ИРБИС-ВЕНТ""    ",Барнаул             ,Краснознаменная 41                                ,2
866,СлавКабель          ,Екатеринбург        ,Лесопарковая 14                                   ,1
876,"ГК ""ФизТех""         ",Красноярск          ,Люблинская 20                                     ,1
886,Мотэк-99            ,Владивосток         ,Монакова 19                                       ,3
896,"ГК ""Эталон""         ",Челябинск           ,Нязепетровская 26                                 ,2
906,"ООО ""Эльтадор-М""    ",Ижевск              ,Оренбургская 30                                   ,1
917,e-Volt              ,Новгород            ,Паровозная 39                                     ,1
928,ИП Карачаров В.В.   ,Саратов             ,Пушкина 44                                        ,3
936,Русинтек            ,Владивосток         ,Румянцева 45                                      ,1
946,Феникс              ,Челябинск           ,Севастопольская 7                                 ,2
956,ИП Карачаров В.В.   ,Ижевск              ,Славянская 25                                     ,2
967,Янус                ,Новгород            ,Тагильская 41                                     ,1
977,ВАЛСИ               ,Воронеж             ,Транзитная 6                                      ,2
988,"ГК ""ФизТех""         ",Москва              ,Туруханская 34                                    ,3
996,"ООО ""ВиК-инжиниринг""",Челябинск           ,Урожайная 13                                      ,2
1007,"ООО ""Абсолют""       ",Барнаул             ,Хлебозаводская 37                                 ,2
516,Русинтек            ,Екатеринбург        ,Жукова 22                                         ,2
524,"ООО ""Слог""          ",Волгоград           ,Златоустовская 35                                 ,3
535,Палекс              ,Иркутск             ,Каменская 45                                      ,3
547,Янус                ,Ростов-на-Дону      ,Косарева 18                                       ,2
555,Райдос              ,Тольятти            ,Краснокамская 41                                  ,2
568,"ГК ""ФизТех""         ",Самара              ,Луганская 46                                      ,3
578,Мотэк-99            ,Саратов             ,Мамина 31                                         ,2
586,СлавКабель          ,Владивосток         ,Московская 6                                      ,1
597,ИП Лебедева И.С.    ,Ростов-на-Дону      ,Обухова 11                                        ,3
606,Мотэк-99            ,Ижевск              ,Отдыха 6                                          ,1
617,Кварц               ,Новгород            ,Пархоменко 28                                     ,2
625,ИП Лебедева И.С.    ,Пермь               ,Пушкина 21                                        ,1
635,"ООО ""Сварожич""      ",Иркутск             ,Рябиновая 41                                      ,3
647,Палекс              ,Ростов-на-Дону      ,Серова 22                                         ,2
657,Зет-Стоун           ,Барнаул             ,Спасская 27                                       ,2
667,Райдос              ,Новгород            ,Телеграфная 9                                     ,1
677,Мегаком             ,Воронеж             ,Трубников 23                                      ,1
687,Янус                ,Ярославль           ,Ударная 45                                        ,3
695,Райдос              ,Омск                ,Учебная 46                                        ,2
709,ИП Лебедева И.С.    ,Тюмень              ,Цветущая 6                                        ,2
717,"ООО ""ИРБИС-ВЕНТ""    ",Новгород            ,Чарчана 43                                        ,2
730,"ООО ""МТА""           ",Тольятти            ,Шахтстроевская 24                                 ,3
740,Русинтек            ,Новосибирск         ,Шота Руставели 22                                 ,2
750,Феникс              ,Пермь               ,Южная 25                                          ,1
759,Палекс              ,Тюмень              ,Авиационная 6                                     ,2
772,"ООО ""ВиК-инжиниринг""",Ростов-на-Дону      ,Артиллерийская 32                                 ,3
781,ВАЛСИ               ,Ижевск              ,Валовая 49                                        ,1
793,ИП Лебедева И.С.    ,Самара              ,Вязовой 32                                        ,1
803,"ООО ""Сварожич""      ",Саратов             ,Грозненская 45                                    ,2
812,"ГК ""Эталон""         ",Ярославль           ,Ереванская 29                                     ,3
824,Русинтек            ,Волгоград           ,Запорожская 19                                    ,1
833,e-Volt              ,Ульяновск           ,Иртышская 4                                       ,2
843,Палекс              ,Самара              ,Каширская 35                                      ,2
855,Янус                ,Тольятти            ,Красноармейская 13                                ,2
863,Райдос              ,Москва              ,Ленина 18                                         ,2
873,Мегаком             ,Уфа                 ,Лунная 6                                          ,3
883,Янус                ,Ульяновск           ,Марченко 3                                        ,3
894,СлавКабель          ,Казань              ,Новосельская 38                                   ,1
903,ИП Кахраманов Э.Б.  ,Саратов             ,Овчинникова 25                                    ,1
910,Синапсис            ,Иркутск             ,Отечественная 47                                  ,2
925,Кварц               ,Пермь               ,Пулковская 28                                     ,3
934,"ООО ""Эльтадор-М""    ",Тюмень              ,Российская 3                                      ,1
944,"ООО ""Слог""          ",Казань              ,Связи 46                                          ,3
953,Кварц               ,Саратов             ,Силикатная 26                                     ,2
957,Мегаком             ,Барнаул             ,Смирных 46                                        ,1
966,Синапсис            ,Екатеринбург        ,Степана Разина 19                                 ,2
976,Viva                ,Красноярск          ,Трактовая 6                                       ,1
985,Мегаком             ,Иркутск             ,Тургенева 3                                       ,2
995,Янус                ,Омск                ,Уральская 5                                       ,1
1005,ВАЛСИ               ,Тольятти            ,Харьковская 24                                    ,2
1015,ИП Кахраманов Э.Б.  ,Новосибирск         ,Цимлянская 37                                     ,1
1019,"ООО ""Самоходов""     ",Казань              ,Чапаева 32                                        ,1
4,ИП Карачаров В.В.   ,Краснодар           ,Павлоградская 35                                  ,2
15,Янус                ,Новосибирск         ,Псковская 50                                      ,2
24,Viva                ,Волгоград           ,Рождественского 41                                ,1
35,ИП Кахраманов Э.Б.  ,Иркутск             ,Связи 48                                          ,2
45,"ООО ""ИРБИС-ВЕНТ""    ",Омск                ,Сиреневая 45                                      ,3
55,"ООО ""Абсолют""       ",Тольятти            ,Сталелитейная 20                                  ,2
65,ИП Лебедева И.С.    ,Новосибирск         ,Толбухина 22                                      ,1
75,"ООО ""Сварожич""      ",Пермь               ,Турбинная 48                                      ,1
85,Кварц               ,Иркутск             ,Университетская Набережная 7                      ,2
94,"ООО ""Эльтадор-М""    ",Казань              ,Халтурина 23                                      ,3
105,e-Volt              ,Тольятти            ,Центральная 19                                    ,1
116,ИП Карачаров В.В.   ,Екатеринбург        ,Черкасская 5                                      ,3
126,Синапсис            ,Красноярск          ,Шенкурская 45                                     ,3
136,Viva                ,Владивосток         ,Щорса 44                                          ,2
147,ИП Кахраманов Э.Б.  ,Ростов-на-Дону      ,Яблочкина 38                                      ,2
157,"ООО ""ИРБИС-ВЕНТ""    ",Барнаул             ,Агаповская 12                                     ,3
168,"ГК ""Эталон""         ",Самара              ,Барабинская 16                                    ,1
176,"ГК ""ФизТех""         ",Красноярск          ,Варненская 24                                     ,3
186,Мотэк-99            ,Владивосток         ,Вязовая 41                                        ,2
196,"ГК ""Эталон""         ",Челябинск           ,Гродненская 30                                    ,3
207,"ООО ""Самоходов""     ",Барнаул             ,Железная 21                                       ,2
217,e-Volt              ,Новгород            ,Заводская 49                                      ,3
227,Палекс              ,Воронеж             ,Иртышская 39                                      ,2
237,Зет-Стоун           ,Ярославль           ,Каширская 22                                      ,3
250,СлавКабель          ,Пермь               ,Красного Урала 38                                 ,3
259,ИП Кахраманов Э.Б.  ,Тюмень              ,Лермонтова 9                                      ,2
268,"ООО ""ВиК-инжиниринг""",Самара              ,Лучевой 42                                        ,1
277,ВАЛСИ               ,Воронеж             ,Марченко 10                                       ,3
286,"ООО ""Петрикофф""     ",Владивосток         ,Новозаводская 12                                  ,1
296,"ООО ""ВиК-инжиниринг""",Челябинск           ,Овражный 41                                       ,1
306,СлавКабель          ,Ижевск              ,Павлова 42                                        ,3
316,"ГК ""ФизТех""         ",Екатеринбург        ,Первоконная 37                                    ,1
326,Мотэк-99            ,Красноярск          ,Родькина 16                                       ,3
336,"ГК ""Эталон""         ",Владивосток         ,Светлая 2                                         ,2
345,ИП Лебедева И.С.    ,Омск                ,Серпуховская 42                                   ,3
354,Мотэк-99            ,Краснодар           ,Спасская 25                                       ,1
363,"ООО ""Абсолют""       ",Москва              ,Телевизионная 46                                  ,2
372,"ГК ""ФизТех""         ",Ростов-на-Дону      ,Троицкая 32                                       ,3
381,"ООО ""ИРБИС-ВЕНТ""    ",Ижевск              ,Туркменская 12                                    ,3
392,"ГК ""Эталон""         ",Новгород            ,Учебная 39                                        ,2
402,"ООО ""Эльтадор-М""    ",Воронеж             ,Хохрякова 11                                      ,2
412,"ООО ""Слог""          ",Ярославль           ,Чайковского 37                                    ,3
422,"ООО ""МТА""           ",Ростов-на-Дону      ,Чистопольская 46                                  ,3
432,Русинтек            ,Барнаул             ,Широкая 45                                        ,1
444,Viva                ,Казань              ,Эстонская 20                                      ,3
454,"ООО ""Петрикофф""     ",Краснодар           ,Ярославская 25                                    ,2
462,Синапсис            ,Ярославль           ,Ангарская 33                                      ,2
473,ВАЛСИ               ,Уфа                 ,Барбюса 16                                        ,1
483,ИП Кахраманов Э.Б.  ,Ульяновск           ,Вахтангова 36                                     ,1
492,"ООО ""ВиК-инжиниринг""",Новгород            ,Гвардейская 28                                    ,3
501,ВАЛСИ               ,Красноярск          ,Гусеничный 11                                     ,2
519,Янус                ,Казань              ,Завалишина 35                                     ,2
529,ВАЛСИ               ,Краснодар           ,Инженерная 45                                     ,3
548,"ООО ""ВиК-инжиниринг""",Уфа                 ,Костромская 4                                     ,1
558,СлавКабель          ,Ульяновск           ,Красноуфимская 47                                 ,3
567,ИП Кахраманов Э.Б.  ,Новгород            ,Ломоносова 34                                     ,2
577,"ООО ""ИРБИС-ВЕНТ""    ",Воронеж             ,Малиновая 24                                      ,3
585,ВАЛСИ               ,Иркутск             ,Морозова 32                                       ,2
595,ИП Кахраманов Э.Б.  ,Омск                ,Обская 44                                         ,2
607,"ООО ""Сварожич""      ",Барнаул             ,Отечественная 22                                  ,3
616,"ГК ""Эталон""         ",Екатеринбург        ,Партизанская 38                                   ,2
627,"ООО ""Самоходов""     ",Воронеж             ,Рабоче-Крестьянская 47                            ,3
638,Феникс              ,Москва              ,Садоводческая 41                                  ,1
648,ИП Карачаров В.В.   ,Уфа                 ,Серпуховская 12                                   ,3
656,Русинтек            ,Ижевск              ,Советская 8                                       ,3
665,e-Volt              ,Новосибирск         ,Танкистов 40                                      ,2
675,Палекс              ,Пермь               ,Троицкая 45                                       ,1
683,"ООО ""Самоходов""     ",Ульяновск           ,Тургоякская 2                                     ,2
694,Феникс              ,Казань              ,Успенского 32                                     ,1
704,ИП Карачаров В.В.   ,Краснодар           ,Хлебозаводская 50                                 ,2
